Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,31537.810547,31844.279297,31440.480469,31814.220703,31814.220703,27200
2017-10-09,31862.199219,32508.589844,31769.400391,32432.689453,32432.689453,44900
2017-10-16,32488.230469,32699.859375,32319.369141,32389.960938,32389.960938,31300
2017-10-23,32411.859375,33286.511719,32312.740234,33157.218750,33157.218750,80500
2017-10-30,33260.101563,33733.710938,33164.281250,33685.558594,33685.558594,251800
2017-11-06,33710.148438,33865.949219,33108.089844,33314.558594,33314.558594,347700
2017-11-13,33397.410156,33520.820313,32683.589844,33342.800781,33342.800781,62400
2017-11-20,33365.839844,33738.531250,33288.210938,33679.238281,33679.238281,50700
2017-11-27,33640.511719,33770.148438,32797.781250,32832.941406,32832.941406,40200
2017-12-04,32968.019531,33285.679688,32565.160156,33250.300781,33250.300781,51500
2017-12-11,33317.718750,33621.960938,32886.929688,33462.968750,33462.968750,80100
2017-12-18,33364.519531,33964.281250,32595.630859,33940.300781,33940.300781,66500
2017-12-25,33980.761719,34137.968750,33752.031250,34056.828125,34056.828125,45400
2018-01-01,34059.988281,34188.851563,33703.371094,34153.851563,34153.851563,52300
2018-01-08,34216.328125,34638.421875,34216.328125,34592.390625,34592.390625,49100
2018-01-15,34687.210938,35542.171875,34687.210938,35511.578125,35511.578125,154100
2018-01-22,35613.968750,36268.191406,35544.679688,36050.441406,36050.441406,96100
2018-01-29,36106.359375,36443.980469,35006.410156,35066.750000,35066.750000,89200
2018-02-05,34718.851563,34874.171875,33482.808594,34005.761719,34005.761719,110400
2018-02-12,34203.339844,34535.078125,33957.328125,34010.761719,34010.761719,83100
2018-02-19,34053.949219,34167.601563,33554.371094,34142.148438,34142.148438,88300
2018-02-26,34225.718750,34610.789063,34015.789063,34046.941406,34046.941406,55700
2018-03-05,34034.281250,34060.128906,32991.140625,33307.140625,33307.140625,63100
2018-03-12,33468.160156,34077.320313,33119.921875,33176.000000,33176.000000,65800
2018-03-19,33268.968750,33354.929688,32483.839844,32596.539063,32596.539063,58800
2018-03-26,32536.439453,33371.039063,32515.169922,32968.679688,32968.679688,56100
2018-04-02,33030.871094,33697.511719,32972.558594,33626.968750,33626.968750,50200
